name,date,id
Arkan Sharifi ,2017-10-30,IRQ
Qais al-Jazar (Qais al-Qadhi) ,2017-10-29,SYR
Daphne Caruana Galizia ,2017-10-16,MLT
Ali Nur Siad ,2017-10-14,SOM
Hawker Faisal Mohammed ,2017-10-13,SYR
Dilshan Ibash ,2017-10-12,SYR
Edgar Daniel Esqueda Castro ,2017-10-01,MEX
Louay Sadiq Meshaal ,2017-10-01,IRQ
Abdullahi Osman Moalim ,2017-09-13,SOM
Gauri Lankesh ,2017-09-05,IND
Christopher Allen ,2017-08-26,SDS
Osama Nasr al-Zoabi ,2017-08-21,SYR
Kim Wall ,2017-08-10,DNK
Khaled al-Khateb ,2017-07-30,SYR
Sudad Faris ,2017-07-07,IRQ
Harb Hazzah al-Duleimi ,2017-07-07,IRQ
Veronique Robert ,2017-06-24,IRQ
Stephane Villeneuve ,2017-06-19,IRQ
Habibollah Hosseinzadeh ,2017-05-31,AFG
Suhaib al-Heeti ,2017-05-30,IRQ
Takieddin al-Hudhaifi ,2017-05-26,YEM
Wael al-Absi ,2017-05-26,YEM
Dmitry Popkov ,2017-05-24,RUS
Javier Valdez Cárdenas ,2017-05-15,MEX
Alaa Kraym (Mohammed al-Qabouni) ,2017-05-04,SYR
Nikolai Andrushchenko ,2017-04-19,RUS
Maximino Rodríguez ,2017-04-14,MEX
Miroslava Breach Velducea ,2017-03-23,MEX
Joaquin Briones ,2017-03-13,PHL
Mohamed Abazied (George Samara) ,2017-03-12,SYR
Cecilio Pineda Birto ,2017-03-02,MEX
Shifa Zikri Ibrahim (Shifa Gardi) ,2017-02-25,IRQ
Taimoor Khan ,2017-02-12,PAK
Abdul Hakim Shimul ,2017-02-03,BGD
Mohammad Nasir Mudasir  ,2016-12-15,AFG
Soe Moe Tun  ,2016-12-13,MMR
Awab al-Zubiry ,2016-11-18,YEM
Mohsen Khazaei ,2016-11-12,SYR
Mahad Ali Mohamed  ,2016-11-06,SOM
Naimatullah Zaheer ,2016-11-04,AFG
Abdul Salam Kanaan ,2016-10-31,SYR
Ali Risan ,2016-10-22,IRQ
Ahmet Haceroğlu ,2016-10-21,IRQ
Jeroen Oerlemans  ,2016-10-02,LBY
Abdiaziz Ali ,2016-09-27,SOM
Taha Shawkat Al-Halou ,2016-08-27,SYR
Mustafa Said ,2016-08-14,IRQ
Shehzad Ahmed ,2016-08-08,PAK
Mehmood Khan ,2016-08-08,PAK
Mubarak al-Abadi ,2016-08-05,YEM
Ahmad Hallak ,2016-08-02,SYR
Mohammed Sayyed Hassan ,2016-08-01,SYR
João Miranda do Carmo ,2016-07-24,BRA
Abdelqadir Fassouk ,2016-07-21,LBY
Pavel Sheremet ,2016-07-20,UKR
Abdullah Mohammad Ghannam ,2016-07-14,SYR
Ali Mahmud ,2016-07-13,IRQ
Ibrahim Omar ,2016-07-11,SYR
Sami Jawdat Rabah ,2016-06-25,SYR
Samer Mohammed Aboud ,2016-06-25,SYR
Mustafa Abdul Hassa ,2016-06-25,SYR
Mohammed Eissa ,2016-06-25,SYR
Khaled al-Zintani  ,2016-06-24,LBY
Khaled Eissa  ,2016-06-24,SYR
Elidio Ramos Zárate ,2016-06-19,MEX
Sagal Salad Osman ,2016-06-05,SOM
David Gilkey ,2016-06-05,AFG
Zabihullah Tamanna ,2016-06-05,AFG
Osama Jumaa ,2016-06-05,SYR
Rajdev Ranjan ,2016-05-13,IND
Zaher al-Shurqat ,2016-04-12,TUR
Mohammed Ghalib al-Majidi ,2016-03-21,YEM
Majid Dirani ,2016-02-19,SYR
Ahmed al-Shaibani ,2016-02-16,YEM
Karun Misra ,2016-02-13,IND
El-Hadj Mohamed Diallo  ,2016-02-05,GIN
Rohat Aktaş ,2016-01-30,TUR
Hashim al-Hamran ,2016-01-22,YEM
Marcos Hernández Bautista  ,2016-01-21,MEX
Almigdad Mojalli ,2016-01-17,YEM
Hassan al-Anbaki ,2016-01-12,IRQ
Saif Talal ,2016-01-12,IRQ
Naji Jerf ,2015-12-27,TUR
Ahmed Mohamed al-Mousa ,2015-12-16,SYR
Zakaria Ibrahim ,2015-12-07,SYR
Hindia Haji Mohamed ,2015-12-03,SOM
Guillaume Barreau-Decherf ,2015-11-13,FRA
Ítalo Eduardo Diniz Barros ,2015-11-13,BRA
Israel Gonçalves Silva ,2015-11-10,BRA
Ahmed Abu al-Hamza ,2015-11-06,SYR
Zaman Mehsud ,2015-11-03,PAK
Batoul Mokhles al-Warrar ,2015-11-03,SYR
Mustaf Abdi Noor  ,2015-11-01,SOM
Faisal Arefin Dipan ,2015-10-31,BGD
Fares Hamadi ,2015-10-30,TUR
Ibrahim Abd al-Qader ,2015-10-30,TUR
Jomaa Al-Ahmad (Abu al-Nour al-Halabi) ,2015-10-27,SYR
Wasem Aledel ,2015-10-23,SYR
Obada Ghazal ,2015-09-26,SYR
Bilal Sharaf al-Deen ,2015-09-17,YEM
Yahya Abdul Hamid ,2015-09-12,IRQ
George Abanga ,2015-09-10,GHA
Flor Alba Núñez Vargas ,2015-09-10,COL
Adam Ward ,2015-08-26,USA
Alison Parker ,2015-08-26,USA
Niloy Neel ,2015-08-07,BGD
Gleydson Carvalho ,2015-08-06,BRA
Adel Sayegh  ,2015-08-01,IRQ
Rubén Espinosa Becerril ,2015-07-31,MEX
Thaer al-Ajlani ,2015-07-27,SYR
Jalaa al-Abadi ,2015-07-15,IRQ
Filadelfo Sánchez Sarmiento ,2015-07-02,MEX
Mohammed al-Asfar ,2015-06-26,SYR
Łukasz Masiak ,2015-06-14,POL
Jagendra Singh ,2015-06-08,IND
Ammar al-Shami ,2015-05-31,SYR
Djalma Santos da Conceição ,2015-05-22,BRA
Abdullah Qabil ,2015-05-21,YEM
Youssef al-Ayzari ,2015-05-21,YEM
Evany José Metzker ,2015-05-13,BRA
Ananta Bijoy Das ,2015-05-12,BGD
Armando Saldaña Morales ,2015-05-02,MEX
Firas al-Baher ,2015-05-01,IRQ
John Kituyi ,2015-04-30,KEN
Daud Ali Omar ,2015-04-29,SOM
Thaer Al-Ali ,2015-04-26,IRQ
Muftah al-Qatrani ,2015-04-22,LBY
Mohamed Shamsan ,2015-04-20,YEM
Soleil Balanga ,2015-04-16,COD
Humam Najjar (Abu Yazan al-Halabi) ,2015-04-16,SYR
Jamal Khalifeh ,2015-04-01,SYR
Washiqur Rahman Babu ,2015-03-30,BGD
Danilo López ,2015-03-10,GTM
Noureddine Hashim ,2015-03-08,SYR
Gerardo Ceferino Servían ,2015-03-05,BRA
Serhiy Nikolayev ,2015-02-28,UKR
Avijit Roy ,2015-02-26,BGD
Randa George ,2015-01-25,SDS
Dalia Marko ,2015-01-25,SDS
Musa Mohamed ,2015-01-25,SDS
Boutros Martin ,2015-01-25,SDS
Adam Juma ,2015-01-25,SDS
Bernard Maris ,2015-01-07,FRA
Georges Wolinski ,2015-01-07,FRA
Jean Cabut (Cabu) ,2015-01-07,FRA
Stephane Charbonnier (Charb) ,2015-01-07,FRA
Bernard Verlhac (Tignous) ,2015-01-07,FRA
Elsa Cayat ,2015-01-07,FRA
Moustapha Ourrad ,2015-01-07,FRA
Philippe Honoré ,2015-01-07,FRA
Khaled al-Washli ,2015-01-04,YEM
José Moisés Sánchez Cerezo  ,2015-01-02,MEX
Kenji Goto ,2015-01-01,SYR
Fadel al-Hadidi ,2015-01-01,IRQ
Marcos de Barros Leopoldo Guerra ,2014-12-23,BRA
Zubair Hatami ,2014-12-21,AFG
Mahran al-Deeri ,2014-12-10,SYR
Salem Khalil ,2014-12-08,SYR
Rami Asmi ,2014-12-08,SYR
Yousef el-Dous ,2014-12-08,SYR
Luke Somers ,2014-12-06,YEM
Mohamed Isaq ,2014-12-05,SOM
Abdulkadir Ahmed ,2014-12-05,SOM
MVN Shankar ,2014-11-26,IND
Zaher Mtawe'e ,2014-11-22,SYR
Abdirizak Ali Abdi ,2014-11-16,SOM
Pablo Medina Velázquez ,2014-10-16,PRY
Atallah Bajbouj ,2014-10-15,SYR
"Aung Kyaw Naing  ""Par Gyi"" ",2014-10-04,MMR
Facely Camara ,2014-09-16,GIN
Mohammed al-Qasim ,2014-09-10,SYR
Irshad Mastoi ,2014-08-28,PAK
Ghulam Rasool ,2014-08-28,PAK
Simone Camilli ,2014-08-13,ISR
Octavio Rojas Hernández ,2014-08-11,MEX
Leyla Yildizhan (Deniz Firat) ,2014-08-08,IRQ
Andrei Stenin ,2014-08-06,UKR
Steven Sotloff ,2014-08-01,SYR
James Foley ,2014-08-01,SYR
Sameh al-Aryan ,2014-07-30,ISR
Rami Rayan ,2014-07-30,ISR
Khaled Reyadh Hamad ,2014-07-20,ISR
Anatoly Klyan ,2014-06-30,UKR
Mohamed Taani ,2014-06-27,SYR
Yusuf Ahmed Abukar ,2014-06-21,SOM
Ahmed Hasan Ahmed ,2014-06-20,SYR
Edgar Pantaleón Fernández Fleitas ,2014-06-19,PRY
Igor Kornelyuk ,2014-06-17,UKR
Khalid Ali Hamada ,2014-06-15,IRQ
Tarun Kumar Acharya ,2014-05-27,IND
Muftah Bu Zeid ,2014-05-26,LBY
Andrea Rocchelli ,2014-05-24,UKR
Sadrul Alam Nipul ,2014-05-21,BGD
Fausto Gabriel Alcaraz Garay ,2014-05-16,PRY
Al-Moutaz Bellah Ibrahim ,2014-05-04,SYR
Camille Lepage ,2014-05-01,CAF
Mouaz Alomar (Abu Mehdi Al Hamwi) ,2014-04-25,SYR
Rubylita Garcia ,2014-04-06,PHL
Anja Niedringhaus ,2014-04-04,AFG
Mayada Ashraf ,2014-03-28,EGY
Nils Horner ,2014-03-11,AFG
Muthanna Abdel Hussein ,2014-03-10,IRQ
Khaled Abdel Thamer ,2014-03-10,IRQ
Ali Mustafa ,2014-03-09,SYR
Omar Abdul Qader ,2014-03-08,SYR
Turad Mohamed al-Zahouri ,2014-02-20,SYR
Vyacheslav Veremiy ,2014-02-19,UKR
Germain Kennedy Mumbere Muliwavyo ,2014-02-16,COD
Pedro Palma ,2014-02-13,BRA
Santiago Ilídio Andrade ,2014-02-10,BRA
Gregorio Jiménez de la Cruz ,2014-02-05,MEX
Firas Mohammed Attiyah ,2014-01-20,IRQ
Michael Tshele ,2014-01-13,ZAF
Bilal Ahmed Bilal ,2014-01-01,SYR
Shan Dahar ,2014-01-01,PAK
Jamal Abdul-Nasser Sami ,2013-12-23,IRQ
Raad Yassin Al-Baddi ,2013-12-23,IRQ
Wassan Al-Azzawi ,2013-12-23,IRQ
Molhem Barakat ,2013-12-20,SYR
Nawras al-Nuaimi ,2013-12-15,IRQ
Sai Reddy ,2013-12-06,IND
Kawa Garmyane ,2013-12-05,IRQ
Yasser Faisal al-Jumaili ,2013-12-04,SYR
Joas Dignos ,2013-11-29,PHL
Wadih Sa'ad al-Hamdani ,2013-11-27,IRQ
Alaa Edward Butros ,2013-11-24,IRQ
Mohamed Yamen Naddaf ,2013-11-24,SYR
Mohamed Ahmed Taysir Bellou ,2013-11-19,SYR
Saleh Ayyad Hafyana ,2013-11-18,LBY
Claude Verlon ,2013-11-02,MLI
Ghislaine Dupont ,2013-11-02,MLI
Mohammad Saeed ,2013-10-29,SYR
Mohamed Mohamud ,2013-10-26,SOM
Bashar al-Nuaimi ,2013-10-24,IRQ
Ayub Khattak ,2013-10-11,PAK
Mohammed Ghanem ,2013-10-05,IRQ
Mohammed Karim al-Badrani ,2013-10-05,IRQ
Nour al-Din Al-Hafiri ,2013-09-29,SYR
Édison Alberto Molina ,2013-09-11,COL
Rajesh Verma ,2013-09-07,IND
Abdel Aziz Mahmoud Hasoun ,2013-09-05,SYR
Fernando Solijon ,2013-08-29,PHL
Rakesh Sharma ,2013-08-23,IND
Narendra Dabholkar ,2013-08-20,IND
Muhammad Hassan Al-Musalama ,2013-08-20,SYR
Tamer Abdel Raouf ,2013-08-19,EGY
Shahir al-Muaddamani ,2013-08-16,SYR
Mosaab al-Shami ,2013-08-14,EGY
Ahmed Abdel Gawad ,2013-08-14,EGY
Mick Deane ,2013-08-14,EGY
Habiba Ahmed Abd Elaziz ,2013-08-14,EGY
Mario Sy ,2013-08-01,PHL
Muhammed Tariq Jadua ,2013-07-27,SYR
Akhmednabi Akhmednabiyev ,2013-07-09,RUS
Ahmed Assem el-Senousy ,2013-07-08,EGY
Liban Abdullahi Farah ,2013-07-07,SOM
Fidaa al-Baali ,2013-07-05,SYR
Salah al-Din Hassan ,2013-06-29,EGY
José Roberto Ornelas de Lemos ,2013-06-11,BRA
Yara Abbas ,2013-05-27,SYR
Youssef Younis ,2013-04-24,SYR
Mohamed Ibrahim Raage ,2013-04-21,SOM
Aslam Durrani ,2013-04-16,PAK
Walgney Assis Carvalho ,2013-04-14,BRA
Mikhail Beketov ,2013-04-08,RUS
Amer Diab ,2013-03-29,SYR
Mahmoud Natouf ,2013-03-14,SYR
Ghaith Abd al-Jawad ,2013-03-10,SYR
Amr Badir al-Deen Junaid ,2013-03-10,SYR
Rodrigo Neto ,2013-03-08,BRA
Walid Jamil Amira ,2013-03-03,SYR
Olivier Voisin ,2013-02-24,SYR
Mafaldo Bezerra Goes ,2013-02-22,BRA
Mohamed Saeed al-Hamwi ,2013-02-17,SYR
Ahmed Rajib Haider ,2013-02-15,BGD
Youssef Adel Bakri (Youssef Abu Jad) ,2013-02-15,SYR
Loay al-Nimir ,2013-01-31,SYR
Issam Obeid ,2013-01-31,SYR
Abdel Karim Nazir Ismail ,2013-01-31,SYR
Abdihared Osman Aden ,2013-01-18,SOM
Mohamed al-Mesalma ,2013-01-18,SYR
Yves Debay ,2013-01-17,SYR
Bassem Fawaz al-Zabi ,2013-01-13,SYR
Mirza Iqbal Hussain ,2013-01-10,PAK
Saif ur Rehman ,2013-01-10,PAK
Imran Shaikh ,2013-01-10,PAK
Suhail Mahmoud al-Ali ,2013-01-04,SYR
Abdul Raheem Kour Hassan ,2013-01-01,SYR
Dwijamani Singh ,2012-12-23,IND
Abd al-Karim al-Ezzo ,2012-12-21,SYR
Al-Hosseiny Abou Deif ,2012-12-12,EGY
Kazbek Gekkiyev ,2012-12-05,RUS
Naji Asaad ,2012-12-04,SYR
Mohamed Quratem ,2012-11-28,SYR
Guillermo Quiroz Delgado ,2012-11-27,COL
Mohamed al-Khal ,2012-11-25,SYR
Saqib Khan ,2012-11-22,PAK
Basel Tawfiq Youssef ,2012-11-21,SYR
Eduardo Carvalho ,2012-11-21,BRA
Hussam Salama ,2012-11-20,ISR
Mahmoud al-Kumi ,2012-11-20,ISR
Hozan Abdel Halim Mahmoud ,2012-11-19,SYR
Rehmatullah Abid ,2012-11-18,PAK
Adrián Silva Moreno ,2012-11-14,MEX
Ayham Mostafa Ghazzoul ,2012-11-09,SYR
Sattar Beheshti ,2012-11-03,IRN
Mohamed Mohamud Turyare ,2012-10-28,SOM
Ahmed Farah Ilyas ,2012-10-23,SOM
Mohammed al-Ashram ,2012-10-10,SYR
Mushtaq Khand ,2012-10-07,PAK
Mona al-Bakkour ,2012-10-03,SYR
Abdul Haq Baloch ,2012-09-29,PAK
Maya Naser ,2012-09-26,SYR
Hassan Yusuf Absuge ,2012-09-21,SOM
Liban Ali Nur ,2012-09-20,SOM
Abdisatar Daher Sabriye ,2012-09-20,SOM
Abdirahman Yasin Ali ,2012-09-20,SOM
Abdel Karim al-Oqda ,2012-09-19,SYR
Yusuf Ahmed Deeb ,2012-09-16,SYR
Hang Serei Odom ,2012-09-11,KHM
Tamer al-Awam ,2012-09-09,SYR
Daudi Mwangosi ,2012-09-02,TZA
Mosaab al-Obdaallah ,2012-08-22,SYR
Mika Yamamoto ,2012-08-20,SYR
Ali Abbas ,2012-08-11,SYR
Hatem Abu Yehia ,2012-08-10,SYR
Ihsan al-Buni ,2012-07-12,SYR
Valério Luiz de Oliveira ,2012-07-05,BRA
Byron Baldeón ,2012-07-01,ECU
Mohammad Shamma ,2012-06-27,SYR
Sami Abu Amin ,2012-06-27,SYR
Jamal Uddin ,2012-06-15,BGD
Abdul Qadir Hajizai ,2012-05-28,PAK
Ahmed al-Assam ,2012-05-28,SYR
Bassel al-Shahade ,2012-05-28,SYR
Ahmed Adnan al-Ashlaq ,2012-05-27,SYR
Lawrence Fahmy al-Naimi ,2012-05-27,SYR
Ammar Mohamed Suhail Zado ,2012-05-27,SYR
Ahmed Addow Anshur ,2012-05-24,SOM
Razzaq Gul ,2012-05-19,PAK
Farhan Jeemis Abdulle ,2012-05-02,SOM
Regina Martínez Pérez ,2012-04-28,MEX
Décio Sá ,2012-04-23,BRA
Ali Shaaban ,2012-04-09,LBN
Leiron Kogoya ,2012-04-08,IDN
Mahad Salad Adan ,2012-04-05,SOM
Ahmed Ismail Hassan ,2012-03-31,Bahrain
Ali Ahmed Abdi ,2012-03-04,SOM
Rajesh Mishra ,2012-03-01,IND
